1;GLS;The Return of the Light;http://eq2.allakhazam.com/db/quest.html?eq2quest=433;Greater Lightstone;http://eq2.allakhazam.com/db/item.html?eq2item=2672;20;0
2;LJB;The Journey is Half the Fun;http://eq2.allakhazam.com/db/quest.html?eq2quest=480;Legendary Journeyman's Boots;http://eq2.allakhazam.com/db/item.html?eq2item=2977;50;0
3;DWB;These Boots Were Made for Walking;http://eq2.allakhazam.com/db/quest.html?eq2quest=696;Dwarven Work Boots;http://eq2.allakhazam.com/db/item.html?eq2item=2730;25;0
4;SBH;Dragoon K'Naae of the Thexians;http://eq2.allakhazam.com/db/quest.html?eq2quest=799;Shiny Brass Halberd;http://eq2.allakhazam.com/db/item.html?eq2item=3013;24;0
5;PGT;An Axe from the Past;http://eq2.allakhazam.com/db/quest.html?eq2quest=884;Polished Granite Tomhawk;http://eq2.allakhazam.com/db/item.html?eq2item=3425;30;0
6;FBE;Hadden's Earring;http://eq2.allakhazam.com/db/quest.html?eq2quest=689;Fishbone Earring;http://eq2.allakhazam.com/db/item.html?eq2item=3141;25;0
7;GBS;A Strange Black Rock;http://eq2.allakhazam.com/db/quest.html?eq2quest=872;Glowing Black Stone;http://eq2.allakhazam.com/db/item.html?eq2item=3468;25;0
8;MS;Stilletto's Orders Intercepted;http://eq2.allakhazam.com/db/quest.html?eq2quest=957;Manastone;http://eq2.allakhazam.com/db/item.html?eq2item=3473;28;0
9;GB;Restoring Ghoulbane;http://eq2.allakhazam.com/db/quest.html?eq2quest=1046;Ghoulbane;http://eq2.allakhazam.com/db/item.html?eq2item=3010;30;0
10;SBS;Training is a Shield;http://eq2.allakhazam.com/db/quest.html?eq2quest=705;Shiny Brass Shield;http://eq2.allakhazam.com/db/item.html?eq2item=8567;40;0
11;GoTD;A Missing Mask;http://eq2.allakhazam.com/db/quest.html?eq2quest=1042;Guise of the Deceiver;http://eq2.allakhazam.com/db/item.html?eq2item=8536;35;0
12;EEB;Foomby's Stolen Goods;http://eq2.allakhazam.com/db/quest.html?eq2quest=870;Bag of Sewn Evil Eye;http://eq2.allakhazam.com/db/item.html?eq2item=3404;32;0
13;SSY;Rescue of the Greenhoods;http://eq2.allakhazam.com/db/quest.html?eq2quest=953;Short Sword of the Ykesha;http://eq2.allakhazam.com/db/item.html?eq2item=3472;32;0
14;SoM;The Stein of Moggok - It Can Be Rebuilt;http://eq2.allakhazam.com/db/quest.html?eq2quest=858;Stein of Moggok;http://eq2.allakhazam.com/db/item.html?eq2item=3458;35;0
15;SBD;The Reaching Blade of the Assassin;http://eq2.allakhazam.com/db/quest.html?eq2quest=767;Serrated Bone Dirk;http://eq2.allakhazam.com/db/item.html?eq2item=3106;35;0
16;CKT;The Lost Legend of Lavastorm;http://eq2.allakhazam.com/db/quest.html?eq2quest=1124;Crown of King Tranix;http://eq2.allakhazam.com/db/item.html?eq2item=9121;45;0
